+------+--------+-------------+---------+------+
|userID|    page|           ts|homevisit|period|
+------+--------+-------------+---------+------+
|      |    Home|1513846494284|        1|     1|
|      |    Home|1513845761284|        1|     2|
|      |    Home|1513845132284|        1|     3|
|      |    Home|1513845055284|        1|     4|
|      |    Home|1513844251284|        1|     5|
|      |    Home|1513844026284|        1|     6|
|      |    Home|1513843602284|        1|     7|
|      |    Home|1513843098284|        1|     8|
|      |    Home|1513842367284|        1|     9|
|      |    Home|1513841138284|        1|    10|
|      |    Home|1513841121284|        1|    11|
|      |    Home|1513839824284|        1|    12|
|      |    Home|1513838865284|        1|    13|
|      |    Home|1513838857284|        1|    14|
|      |    Home|1513838835284|        1|    15|
|      |    Home|1513838141284|        1|    16|
|      |    Home|1513838110284|        1|    17|
|      |    Home|1513836104284|        1|    18|
|      |    Home|1513835948284|        1|    19|
|      |    Home|1513835945284|        1|    20|
|      |    Home|1513835587284|        1|    21|
|      |    Home|1513834216284|        1|    22|
|      |    Home|1513832509284|        1|    23|
|      |    Home|1513831850284|        1|    24|
|      |    Home|1513831714284|        1|    25|
|      |    Home|1513831585284|        1|    26|
|      |    Home|1513830655284|        1|    27|
|      |    Home|1513830380284|        1|    28|
|      |    Home|1513829956284|        1|    29|
|      |    Home|1513829767284|        1|    30|
|      |    Home|1513827843284|        1|    31|
|      |    Home|1513824819284|        1|    32|
|      |    Home|1513822243284|        1|    33|
|      |    Home|1513821606284|        1|    34|
|      |    Home|1513820683284|        1|    35|
|      |    Home|1513820259284|        1|    36|
|      |    Home|1513819932284|        1|    37|
|      |    Home|1513818200284|        1|    38|
|      |    Home|1513818158284|        1|    39|
|      |    Home|1513818069284|        1|    40|
|      |    Home|1513817608284|        1|    41|
|      |    Home|1513817372284|        1|    42|
|      |    Home|1513817216284|        1|    43|
|      |    Home|1513817057284|        1|    44|
|      |    Home|1513815104284|        1|    45|
|      |    Home|1513815100284|        1|    46|
|      |    Home|1513814961284|        1|    47|
|      |    Home|1513814246284|        1|    48|
|      |    Home|1513813017284|        1|    49|
|      |    Home|1513811493284|        1|    50|
|      |    Home|1513811017284|        1|    51|
|      |    Home|1513809385284|        1|    52|
|      |    Home|1513807415284|        1|    53|
|      |    Home|1513807378284|        1|    54|
|      |    Home|1513807374284|        1|    55|
|      |    Home|1513806562284|        1|    56|
|      |    Home|1513805351284|        1|    57|
|      |    Home|1513805041284|        1|    58|
